model_path,thumbnail_path,category,fourier_feature,zernike_feature
3d-dataset\3D Models\Abstract\Abstractshape1.obj,3d-dataset\Thumbnails\Abstract\Abstractshape1.jpg,Abstract,0.013954713002309644,0.022387054913988878
3d-dataset\3D Models\Abstract\Abstractshape10.obj,3d-dataset\Thumbnails\Abstract\Abstractshape10.jpg,Abstract,0.013176283081731697,0.02794321849987695
3d-dataset\3D Models\Abstract\Abstractshape11.obj,3d-dataset\Thumbnails\Abstract\Abstractshape11.jpg,Abstract,0.013562441341711442,0.020744008019024925
3d-dataset\3D Models\Abstract\Abstractshape12.obj,3d-dataset\Thumbnails\Abstract\Abstractshape12.jpg,Abstract,0.014141808267993737,0.021803962388133317
3d-dataset\3D Models\Abstract\Abstractshape13.obj,3d-dataset\Thumbnails\Abstract\Abstractshape13.jpg,Abstract,0.013461545883932226,0.017812393480332908
3d-dataset\3D Models\Abstract\Abstractshape14.obj,3d-dataset\Thumbnails\Abstract\Abstractshape14.jpg,Abstract,0.014575318044941981,0.014505024858876394
3d-dataset\3D Models\Abstract\Abstractshape15.obj,3d-dataset\Thumbnails\Abstract\Abstractshape15.jpg,Abstract,0.013983141145165466,0.015089834970899281
3d-dataset\3D Models\Abstract\Abstractshape16.obj,3d-dataset\Thumbnails\Abstract\Abstractshape16.jpg,Abstract,0.014627785248676648,0.014778236756848358
3d-dataset\3D Models\Abstract\Abstractshape17.obj,3d-dataset\Thumbnails\Abstract\Abstractshape17.jpg,Abstract,0.0020752636529955534,0.02393625697966676
3d-dataset\3D Models\Abstract\Abstractshape18.obj,3d-dataset\Thumbnails\Abstract\Abstractshape18.jpg,Abstract,0.013217340530368328,0.01731549931184658
3d-dataset\3D Models\Abstract\Abstractshape19.obj,3d-dataset\Thumbnails\Abstract\Abstractshape19.jpg,Abstract,0.013019734133691764,0.017328224746940013
3d-dataset\3D Models\Abstract\Abstractshape2.obj,3d-dataset\Thumbnails\Abstract\Abstractshape2.jpg,Abstract,0.014127347000782046,0.014603827005060114
3d-dataset\3D Models\Abstract\Abstractshape20.obj,3d-dataset\Thumbnails\Abstract\Abstractshape20.jpg,Abstract,0.014377424953335794,0.014683675348812535
3d-dataset\3D Models\Abstract\Abstractshape21.obj,3d-dataset\Thumbnails\Abstract\Abstractshape21.jpg,Abstract,0.013276719609048995,0.017885939703023043
3d-dataset\3D Models\Abstract\Abstractshape22.obj,3d-dataset\Thumbnails\Abstract\Abstractshape22.jpg,Abstract,0.013586225112430742,0.017297683203613693
3d-dataset\3D Models\Abstract\Abstractshape23.obj,3d-dataset\Thumbnails\Abstract\Abstractshape23.jpg,Abstract,0.013738439672657162,0.014918592399193605
3d-dataset\3D Models\Abstract\Abstractshape24.obj,3d-dataset\Thumbnails\Abstract\Abstractshape24.jpg,Abstract,0.013581846992788874,0.01677120147098304
3d-dataset\3D Models\Abstract\Abstractshape25.obj,3d-dataset\Thumbnails\Abstract\Abstractshape25.jpg,Abstract,0.01353674230217095,0.020387052342675738
3d-dataset\3D Models\Abstract\Abstractshape26.obj,3d-dataset\Thumbnails\Abstract\Abstractshape26.jpg,Abstract,0.013913553993287567,0.016683526350017543
3d-dataset\3D Models\Abstract\Abstractshape27.obj,3d-dataset\Thumbnails\Abstract\Abstractshape27.jpg,Abstract,0.013222338798945825,0.017794278360473398
3d-dataset\3D Models\Abstract\Abstractshape28.obj,3d-dataset\Thumbnails\Abstract\Abstractshape28.jpg,Abstract,0.0138979657861083,0.01607460411848076
3d-dataset\3D Models\Abstract\Abstractshape29.obj,3d-dataset\Thumbnails\Abstract\Abstractshape29.jpg,Abstract,0.01317736875568222,0.019573060854496553
3d-dataset\3D Models\Abstract\Abstractshape3.obj,3d-dataset\Thumbnails\Abstract\Abstractshape3.jpg,Abstract,0.014034755222892884,0.016722480140928673
3d-dataset\3D Models\Abstract\Abstractshape30.obj,3d-dataset\Thumbnails\Abstract\Abstractshape30.jpg,Abstract,0.013261006917862604,0.018082090347535936
3d-dataset\3D Models\Abstract\Abstractshape31.obj,3d-dataset\Thumbnails\Abstract\Abstractshape31.jpg,Abstract,0.0134144671377779,0.019066915278527698
3d-dataset\3D Models\Abstract\Abstractshape32.obj,3d-dataset\Thumbnails\Abstract\Abstractshape32.jpg,Abstract,0.01346982134601127,0.019692973846801576
3d-dataset\3D Models\Abstract\Abstractshape33.obj,3d-dataset\Thumbnails\Abstract\Abstractshape33.jpg,Abstract,0.013553244611528258,0.01840226825531667
3d-dataset\3D Models\Abstract\Abstractshape34.obj,3d-dataset\Thumbnails\Abstract\Abstractshape34.jpg,Abstract,0.014530030891423767,0.014634712131744752
3d-dataset\3D Models\Abstract\Abstractshape35.obj,3d-dataset\Thumbnails\Abstract\Abstractshape35.jpg,Abstract,0.013711762983819703,0.016243515356013132
